"","legislator_id","legislator_status","legislator_name","legislator_cham_name","legislator_photo_url","legislator_gender","legislator_state","legislator_party","legislator_cabinet","legislator_building_address","legislator_telephone_number","legislator_email","legislator_comissions"
"1","73701","Titular","BENEDITA SOUZA DA SILVA SAMPAIO","BENEDITA DA SILVA","http://www.camara.gov.br/internet/deputado/bandep/73701.jpg","feminino","RJ","PT","330","4","3215-5330","dep.beneditadasilva@camara.leg.br",""
"2","73696","Titular","ANGELA REGINA HEINZEN AMIN HELOU","ANGELA AMIN","http://www.camara.gov.br/internet/deputado/bandep/73696.jpg","feminino","SC","PP","252","4","3215-5252","dep.angelaamin@camara.leg.br",""
"3","73801","Titular","RENILDO VASCONCELOS CALHEIROS","RENILDO CALHEIROS","http://www.camara.gov.br/internet/deputado/bandep/73801.jpg","masculino","PE","PCdoB","915","4","3215-5915","dep.renildocalheiros@camara.leg.br",""
"4","74848","Titular","JANDIRA FEGHALI","JANDIRA FEGHALI","http://www.camara.gov.br/internet/deputado/bandep/74848.jpg","feminino","RJ","PCdoB","622","4","3215-5622","dep.jandirafeghali@camara.leg.br",""
"5","74459","Titular","ÁTILA FREITAS LIRA","ÁTILA LIRA","http://www.camara.gov.br/internet/deputado/bandep/74459.jpg","masculino","PI","PSB","640","4","3215-5640","dep.atilalira@camara.leg.br",""
"6","73466","Titular","RUBENS BUENO","RUBENS BUENO","http://www.camara.gov.br/internet/deputado/bandep/73466.jpg","masculino","PR","PPS","916","4","3215-5916","dep.rubensbueno@camara.leg.br",""
"7","74419","Titular","LUIZ GONZAGA PATRIOTA","GONZAGA PATRIOTA","http://www.camara.gov.br/internet/deputado/bandep/74419.jpg","masculino","PE","PSB","430","4","3215-5430","dep.gonzagapatriota@camara.leg.br",""
"8","74317","Titular","JÚLIO CÉSAR DE CARVALHO LIMA","JÚLIO CESAR","http://www.camara.gov.br/internet/deputado/bandep/74317.jpg","masculino","PI","PSD","944","4","3215-5944","dep.juliocesar@camara.leg.br",""
"9","74305","Titular","ROBERTO SOARES PESSOA","ROBERTO PESSOA","http://www.camara.gov.br/internet/deputado/bandep/74305.jpg","masculino","CE","PSDB","219","4","3215-5219","dep.robertopessoa@camara.leg.br",""
"10","74075","Titular","ELCIONE THEREZINHA ZAHLUTH BARBALHO","ELCIONE BARBALHO","http://www.camara.gov.br/internet/deputado/bandep/74075.jpg","feminino","PA","MDB","206","4","3215-5206","dep.elcionebarbalho@camara.leg.br",""
